Base Postcode,Base Latitude,Base Longitude,Postcode,Latitude,Longitude
IP27 0NZ,52.437711,0.608543,IP1 1XL,52.053987,1.151959
IP27 0NZ,52.437711,0.608543,IP1 1XN,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1XQ,52.055811,1.152364
IP27 0NZ,52.437711,0.608543,IP1 1XR,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1YB,52.05702,1.153223
IP27 0NZ,52.437711,0.608543,IP1 1YQ,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1YR,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1ZB,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1ZD,52.05564,1.152367
IP27 0NZ,52.437711,0.608543,IP1 1ZF,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1ZG,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1ZH,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2AA,52.057351,1.149934
IP27 0NZ,52.437711,0.608543,IP1 2AB,52.056795,1.150187
IP27 0NZ,52.437711,0.608543,IP1 2AD,52.056572,1.150448
IP27 0NZ,52.437711,0.608543,IP1 2AE,52.056577,1.147925
IP27 0NZ,52.437711,0.608543,IP1 2AF,52.060344,1.14123
IP27 0NZ,52.437711,0.608543,IP1 2AG,52.053536,1.143597
IP27 0NZ,52.437711,0.608543,IP1 2AH,52.056239,1.149141
IP27 0NZ,52.437711,0.608543,IP1 2AJ,52.056848,1.148892
IP27 0NZ,52.437711,0.608543,IP1 2AL,52.056199,1.148862
IP27 0NZ,52.437711,0.608543,IP1 2AN,52.056751,1.147806
IP27 0NZ,52.437711,0.608543,IP1 2AP,52.056866,1.148893
IP27 0NZ,52.437711,0.608543,IP1 2AQ,52.056318,1.149555
IP27 0NZ,52.437711,0.608543,IP1 2AR,52.059316,1.148001
IP27 0NZ,52.437711,0.608543,IP1 2AS,52.058931,1.148003
IP27 0NZ,52.437711,0.608543,IP1 2AU,52.057524,1.140419
IP27 0NZ,52.437711,0.608543,IP1 2AW,52.057405,1.148246
IP27 0NZ,52.437711,0.608543,IP1 2AX,52.058889,1.14657
IP27 0NZ,52.437711,0.608543,IP1 2AY,52.056863,1.149681
IP27 0NZ,52.437711,0.608543,IP1 2AZ,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 2BA,52.057568,1.142144
IP27 0NZ,52.437711,0.608543,IP1 2BB,52.057914,1.142635
IP27 0NZ,52.437711,0.608543,IP1 2BD,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2BE,52.053622,1.145747
IP27 0NZ,52.437711,0.608543,IP1 2BF,52.057293,1.138944
IP27 0NZ,52.437711,0.608543,IP1 2BG,52.057185,1.137273
IP27 0NZ,52.437711,0.608543,IP1 2BH,52.058162,1.139413
IP27 0NZ,52.437711,0.608543,IP1 2BJ,52.057662,1.146367
IP27 0NZ,52.437711,0.608543,IP1 2BL,52.057842,1.137582
IP27 0NZ,52.437711,0.608543,IP1 2BN,52.053834,1.146229
IP27 0NZ,52.437711,0.608543,IP1 2BP,52.056572,1.145765
IP27 0NZ,52.437711,0.608543,IP1 2BQ,52.057837,1.138807
IP27 0NZ,52.437711,0.608543,IP1 2BS,52.057093,1.14748
IP27 0NZ,52.437711,0.608543,IP1 2BT,52.057337,1.147088
IP27 0NZ,52.437711,0.608543,IP1 2BU,52.057224,1.146599
IP27 0NZ,52.437711,0.608543,IP1 2BX,52.054221,1.143441
IP27 0NZ,52.437711,0.608543,IP1 2BY,52.05611,1.1462
IP27 0NZ,52.437711,0.608543,IP1 2BZ,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2DA,52.054732,1.144614
IP27 0NZ,52.437711,0.608543,IP1 2DB,52.054732,1.144614
IP27 0NZ,52.437711,0.608543,IP1 2DD,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2DE,52.053592,1.143163
IP27 0NZ,52.437711,0.608543,IP1 2DF,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 2DG,52.057662,1.146367
IP27 0NZ,52.437711,0.608543,IP1 2DH,52.054292,1.14222
IP27 0NZ,52.437711,0.608543,IP1 2DJ,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2DL,52.054962,1.142618
IP27 0NZ,52.437711,0.608543,IP1 2DN,52.055351,1.134548
IP27 0NZ,52.437711,0.608543,IP1 2DP,52.054977,1.142502
IP27 0NZ,52.437711,0.608543,IP1 2DQ,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2DR,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2DS,52.05669,1.13629
IP27 0NZ,52.437711,0.608543,IP1 2DT,52.055795,1.144893
IP27 0NZ,52.437711,0.608543,IP1 2DU,52.05706,1.144647
IP27 0NZ,52.437711,0.608543,IP1 2DW,52.055791,1.139554
IP27 0NZ,52.437711,0.608543,IP1 2DX,52.057835,1.147969
IP27 0NZ,52.437711,0.608543,IP1 2DZ,52.056932,1.135534
IP27 0NZ,52.437711,0.608543,IP1 2EA,52.060344,1.14123
IP27 0NZ,52.437711,0.608543,IP1 2EB,52.053683,1.142469
IP27 0NZ,52.437711,0.608543,IP1 2ED,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 2EE,52.058239,1.148684
IP27 0NZ,52.437711,0.608543,IP1 2EF,52.057776,1.149147
IP27 0NZ,52.437711,0.608543,IP1 2EG,52.056846,1.138198
IP27 0NZ,52.437711,0.608543,IP1 2EH,52.057623,1.136939
IP27 0NZ,52.437711,0.608543,IP1 2EJ,52.059032,1.136483
IP27 0NZ,52.437711,0.608543,IP1 2EL,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2EN,52.058129,1.135588
IP27 0NZ,52.437711,0.608543,IP1 2EP,52.061336,1.143416
IP27 0NZ,52.437711,0.608543,IP1 2EQ,52.057524,1.140419
IP27 0NZ,52.437711,0.608543,IP1 2ER,52.061274,1.143148
IP27 0NZ,52.437711,0.608543,IP1 2ES,52.059649,1.145719
IP27 0NZ,52.437711,0.608543,IP1 2ET,52.060862,1.144666
IP27 0NZ,52.437711,0.608543,IP1 2EU,52.059022,1.144259
IP27 0NZ,52.437711,0.608543,IP1 2EW,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 2EX,52.058974,1.145059
IP27 0NZ,52.437711,0.608543,IP1 2EY,52.059338,1.142895
IP27 0NZ,52.437711,0.608543,IP1 2EZ,52.059938,1.143332
IP27 0NZ,52.437711,0.608543,IP1 2FA,52.05925,1.148784
IP27 0NZ,52.437711,0.608543,IP1 2FD,52.060634,1.138784
IP27 0NZ,52.437711,0.608543,IP1 2FF,52.059729,1.142719
IP27 0NZ,52.437711,0.608543,IP1 2FG,52.057622,1.143403
IP27 0NZ,52.437711,0.608543,IP1 2FH,52.055929,1.148171
IP27 0NZ,52.437711,0.608543,IP1 2GA,52.057609,1.146334
IP27 0NZ,52.437711,0.608543,IP1 2GD,52.05759,1.14232
IP27 0NZ,52.437711,0.608543,IP1 2GL,52.063271,1.137729
IP27 0NZ,52.437711,0.608543,IP1 2HA,52.059911,1.144322
IP27 0NZ,52.437711,0.608543,IP1 2HB,52.060285,1.143794
IP27 0NZ,52.437711,0.608543,IP1 2HD,52.05888,1.13872
IP27 0NZ,52.437711,0.608543,IP1 2HE,52.060206,1.141702
IP27 0NZ,52.437711,0.608543,IP1 2HF,52.059673,1.141095
IP27 0NZ,52.437711,0.608543,IP1 2HG,52.05995,1.140166
IP27 0NZ,52.437711,0.608543,IP1 2HH,52.05883,1.138337
IP27 0NZ,52.437711,0.608543,IP1 2HJ,52.058994,1.14026
IP27 0NZ,52.437711,0.608543,IP1 2HL,52.058648,1.139768
IP27 0NZ,52.437711,0.608543,IP1 2HN,52.058454,1.140266
IP27 0NZ,52.437711,0.608543,IP1 2HP,52.059131,1.141218
IP27 0NZ,52.437711,0.608543,IP1 2HQ,52.059194,1.138071
IP27 0NZ,52.437711,0.608543,IP1 2HR,52.058814,1.141969
IP27 0NZ,52.437711,0.608543,IP1 2HS,52.058207,1.1427
IP27 0NZ,52.437711,0.608543,IP1 2HT,52.058492,1.144572
IP27 0NZ,52.437711,0.608543,IP1 2HU,52.058688,1.141289
IP27 0NZ,52.437711,0.608543,IP1 2HW,52.058387,1.141092
